PEUGEOT 208 5 doors 1.2 PureTech 5AT (82);L3;1199,00;60 @ 5750;118 @ 2750;Multipoint Injection;Gasoline;97,00;179,00;;42504,00;Front Wheel Drive;5-speed automatic;42525,00;42616,00;42404,00;3965,00;1740,00;1461,00;1,00;4661,00;450,00;2537,00;-;11;311;0.31;1040;-
PEUGEOT 208 5 doors 1.2 PureTech 5MT (110);L3;1199,00;81 @ 5500;205 @ 1500;Turbocharged Direct Injection;Gasoline;103,00;190,00;;42530,00;Front Wheel Drive;5-speed manual;42526,00;42585,00;42494,00;3965,00;1740,00;1461,00;1,00;4661,00;450,00;2537,00;-;11;311;0.31;1135;-
PEUGEOT 208 5 doors 1.2 PureTech 5MT (82);L3;1199,00;60 @ 5750;118 @ 2750;Multipoint Injection;Gasoline;104,00;175,00;;42412,00;Front Wheel Drive;5-speed manual;42495,00;42616,00;42494,00;3965,00;1740,00;1461,00;1,00;4661,00;450,00;2537,00;-;11;311;0.31;1035;-
PEUGEOT 208 5 doors 1.2 PureTech 5MT Low Emissions (82);L3;1199,00;60 @ 5750;118 @ 2750;Multipoint Injection;Gasoline;99,00;175,00;;42412,00;Front Wheel Drive;5-speed manual;-;-;-;3965,00;1740,00;1461,00;1,00;4661,00;450,00;2537,00;-;11;311;0.31;1035;-
PEUGEOT 208 5 doors 1.2 PureTech 6AT (110);L3;1199,00;81 @ 5500;205 @ 1500;Turbocharged Direct Injection;Gasoline;104,00;195,00;;42591,00;Front Wheel Drive;6-speed automatic;42556,00;42585,00;42494,00;3965,00;1740,00;1461,00;1,00;4661,00;450,00;2537,00;-;11;311;0.31;1155;-
PEUGEOT 208 5 doors 1.6 THP 6MT (165);L4;1598,00;122 @ 6000;240 @ 1750-4000;Turbocharged Direct Injection;Gasoline;129,00;217,00;;42467,00;Front Wheel Drive;6-speed manual;42376,00;42525,00;42526,00;3965,00;1740,00;1461,00;1,00;4661,00;450,00;2537,00;-;11;311;0.31;1215;-
PEUGEOT 208 5 doors 1.6 BlueHDI 5MT (100);L4;1560,00;74 @ 3750;254 @ 1750;Turbocharged Common Rail;Diesel;87,00;187,00;;-;Front Wheel Drive;5-speed manual;42585,00;42403,00;42463,00;3965,00;1740,00;1461,00;1,00;4661,00;450,00;2537,00;-;11;311;0.31;1165;-
PEUGEOT 208 5 doors 1.6 BlueHDI 5MT (75);L4;1560,00;55 @ 3500;230 @ 1750;Turbocharged Common Rail;Diesel;90,00;171,00;;42442,00;Front Wheel Drive;5-speed manual;42404,00;3,00;42493,00;3965,00;1740,00;1461,00;1,00;4661,00;450,00;2537,00;-;11;311;0.31;1140;-
PEUGEOT 208 5 doors 1.6 BlueHDI 6MT (120);L4;1560,00;88 @ 3500;285 @ 1750;Turbocharged Common Rail;Diesel;94,00;190,00;;42469,00;Front Wheel Drive;6-speed manual;42464,00;42403,00;3,00;3965,00;1740,00;1461,00;1,00;4661,00;450,00;2537,00;-;11;311;0.31;1190;-
RENAULT Grand Scenic 1.2 Tce 6MT (115);L4;1199,00;84.6 @ 4500;190 @ 2000;Turbocharged Direct Injection;Gasoline;-;-;Front Wheel Drive;6-speed manual;-;-;-;4633,00;1864,00;1661,00;1,00;5951,00;582,00;2804,00;160,00;42485,00;719,00;-;-;-;;
RENAULT Grand Scenic 1.2 TCe 6MT (130);L4;1199,00;95.6 @ 5500;205 @ 2000;Turbocharged Direct Injection;Gasoline;-;-;Front Wheel Drive;6-speed manual;-;-;-;4633,00;1864,00;1661,00;1,00;5951,00;582,00;2804,00;160,00;42485,00;719,00;-;-;-;;
RENAULT Grand Scenic 1.5 dCi 6MT (110);L4;1461,00;80.9 @ 4000;260 @ 1750;Turbocharged Common Rail;Diesel;-;-;Front Wheel Drive;6-speed manual;-;-;-;4633,00;1864,00;1661,00;1,00;5951,00;582,00;2804,00;160,00;42485,00;719,00;-;-;-;;
RENAULT Grand Scenic 1.5 dCi 7AT (110);L4;1461,00;80.9 @ 4000;260 @ 1750;Turbocharged Common Rail;Diesel;-;-;Front Wheel Drive;7-speed automatic (EDC);-;-;-;4633,00;1864,00;1661,00;1,00;5951,00;582,00;2804,00;160,00;42485,00;719,00;-;-;-;;
RENAULT Grand Scenic 1.6 dCi 6AT (160);L4;1598,00;117.7 @ 4000;380 @ 1750;Turbocharged Common Rail;Diesel;-;-;Front Wheel Drive;6-speed automatic (EDC);-;-;-;4633,00;1864,00;1661,00;1,00;5951,00;582,00;2804,00;160,00;42485,00;719,00;-;-;-;;
RENAULT Grand Scenic 1.6 dCi 6MT (130);L4;1598,00;95.6 @ 4000;320 @ 1750;Turbocharged Common Rail;Diesel;-;-;Front Wheel Drive;6-speed manual;-;-;-;4633,00;1864,00;1661,00;1,00;5951,00;582,00;2804,00;160,00;42485,00;719,00;-;-;-;;
RENAULT Grand Scenic 1.5 dCi Hybrid Assist 6MT (110);L4;1461,00;80.9 @ 4000;260 @ 1750;Turbocharged Common Rail;Hybrid;-;-;Front Wheel Drive;6-speed manual;-;-;-;4633,00;1864,00;1661,00;1,00;5951,00;582,00;2804,00;160,00;42485,00;719,00;-;-;-;;
