AUDI A4 2.0 TDI ultra 7AT (150),L4,1968,110.3 @ 3250-4200,320 @ 1500-3250,Turbocharged Common Rail,Diesel,105,209,,8.7,Front Wheel Drive,7-speed automatic (S tronic),4.8,3.7,4,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1545,2070
AUDI A4 2.0 TDI ultra 7AT (190),L4,1968,139.7 @ 3800-4200,400 @ 1750-3000,Turbocharged Common Rail,Diesel,103,209,,7.7,Front Wheel Drive,7-speed automatic (S tronic),4.7,3.5,4,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1545,2070
AUDI A4 3.0 TDI 7AT (218),V6,2967,160.3 @ 4000-5000,400 @ 1250-3750,Turbocharged Common Rail,Diesel,117,249,,6.6,Front Wheel Drive,7-speed automatic (S tronic),4.9,4.3,4.5,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1615,2110
AUDI A4 3.0 TDI 8AT (272),V6,2967,200.1 @ 3250-4250,600 @ 1500-3000,Turbocharged Common Rail,Diesel,137,249,,5.3,All Wheel Drive,8-speed automatic (Tiptronic),5.6,4.9,5.2,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1735,2230
AUDI A4 3.0 TDI quattro 7AT (218),V6,2967,160.3 @ 4000-5000,400 @ 1250-3750,Turbocharged Common Rail,Diesel,127,249,,6.3,All Wheel Drive,7-speed automatic (S tronic),5.1,4.7,4.8,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1695,2190
ASTON MARTIN Vanquish 5.9l V12 (573),v12,5935,421 @ 6750,620 @ 5500,Direct Fuel Injection,Gasoline,335,295,,4.1,Rear Wheel Drive,six-speed automatic (Touchtronic 2),17.8,8.5,12,4719,2068,1280,-,2741,-,13,368,-,1739,-
PEUGEOT 208 5 doors 1.0 PureTech 5MT (68),L3,999,50 @ 6000,95 @ 3000,Multipoint Injection,Gasoline,102,166,,14,Front Wheel Drive,5-speed manual,5.2,3.9,4.4,3965,1740,1461,"1,466/1,450",2537,-,11,311,0.31,1035,-
PEUGEOT 208 5 doors 1.2 PureTech 5AT (82),L3,1199,60 @ 5750,118 @ 2750,Multipoint Injection,Gasoline,97,179,,14.5,Front Wheel Drive,5-speed automatic,4.6,3.9,4.2,3965,1740,1461,"1,466/1,450",2537,-,11,311,0.31,1040,-
PEUGEOT 208 5 doors 1.2 PureTech 5MT (110),L3,1199,81 @ 5500,205 @ 1500,Turbocharged Direct Injection,Gasoline,103,190,,9.6,Front Wheel Drive,5-speed manual,5.6,3.8,4.5,3965,1740,1461,"1,466/1,450",2537,-,11,311,0.31,1135,-
PEUGEOT 208 5 doors 1.2 PureTech 5MT (82),L3,1199,60 @ 5750,118 @ 2750,Multipoint Injection,Gasoline,104,175,,12.2,Front Wheel Drive,5-speed manual,5.5,3.9,4.5,3965,1740,1461,"1,466/1,450",2537,-,11,311,0.31,1035,-
PEUGEOT 208 5 doors 1.2 PureTech 5MT Low Emissions (82),L3,1199,60 @ 5750,118 @ 2750,Multipoint Injection,Gasoline,99,175,,12.2,Front Wheel Drive,5-speed manual,-,-,-,3965,1740,1461,"1,466/1,450",2537,-,11,311,0.31,1035,-
PEUGEOT 208 5 doors 1.2 PureTech 6AT (110),L3,1199,81 @ 5500,205 @ 1500,Turbocharged Direct Injection,Gasoline,104,195,,9.8,Front Wheel Drive,6-speed automatic,5.7,3.8,4.5,3965,1740,1461,"1,466/1,450",2537,-,11,311,0.31,1155,-
PEUGEOT 208 5 doors 1.6 THP 6MT (165),L4,1598,122 @ 6000,240 @ 1750-4000,Turbocharged Direct Injection,Gasoline,129,217,,7.4,Front Wheel Drive,6-speed manual,7.1,4.6,5.6,3965,1740,1461,"1,466/1,450",2537,-,11,311,0.31,1215,-
PEUGEOT 208 5 doors 1.6 BlueHDI 5MT (100),L4,1560,74 @ 3750,254 @ 1750,Turbocharged Common Rail,Diesel,87,187,,-,Front Wheel Drive,5-speed manual,3.8,3.2,3.4,3965,1740,1461,"1,466/1,450",2537,-,11,311,0.31,1165,-
PEUGEOT 208 5 doors 1.6 BlueHDI 5MT (75),L4,1560,55 @ 3500,230 @ 1750,Turbocharged Common Rail,Diesel,90,171,,13.3,Front Wheel Drive,5-speed manual,4.2,3,3.5,3965,1740,1461,"1,466/1,450",2537,-,11,311,0.31,1140,-
PEUGEOT 208 5 doors 1.6 BlueHDI 6MT (120),L4,1560,88 @ 3500,285 @ 1750,Turbocharged Common Rail,Diesel,94,190,,9.4,Front Wheel Drive,6-speed manual,4.4,3.2,3,3965,1740,1461,"1,466/1,450",2537,-,11,311,0.31,1190,-
RENAULT Grand Scenic 1.2 Tce 6MT (115),L4,1199,84.6 @ 4500,190 @ 2000,Turbocharged Direct Injection,Gasoline,-,-,Front Wheel Drive,6-speed manual,-,-,-,4633,1864,1661,"1,595/1,582",2804,160,25.4,719,-,-,-
RENAULT Grand Scenic 1.2 TCe 6MT (130),L4,1199,95.6 @ 5500,205 @ 2000,Turbocharged Direct Injection,Gasoline,-,-,Front Wheel Drive,6-speed manual,-,-,-,4633,1864,1661,"1,595/1,582",2804,160,25.4,719,-,-,-
RENAULT Grand Scenic 1.5 dCi 6MT (110),L4,1461,80.9 @ 4000,260 @ 1750,Turbocharged Common Rail,Diesel,-,-,Front Wheel Drive,6-speed manual,-,-,-,4633,1864,1661,"1,595/1,582",2804,160,25.4,719,-,-,-
RENAULT Grand Scenic 1.5 dCi 7AT (110),L4,1461,80.9 @ 4000,260 @ 1750,Turbocharged Common Rail,Diesel,-,-,Front Wheel Drive,7-speed automatic (EDC),-,-,-,4633,1864,1661,"1,595/1,582",2804,160,25.4,719,-,-,-
RENAULT Grand Scenic 1.6 dCi 6AT (160),L4,1598,117.7 @ 4000,380 @ 1750,Turbocharged Common Rail,Diesel,-,-,Front Wheel Drive,6-speed automatic (EDC),-,-,-,4633,1864,1661,"1,595/1,582",2804,160,25.4,719,-,-,-
RENAULT Grand Scenic 1.6 dCi 6MT (130),L4,1598,95.6 @ 4000,320 @ 1750,Turbocharged Common Rail,Diesel,-,-,Front Wheel Drive,6-speed manual,-,-,-,4633,1864,1661,"1,595/1,582",2804,160,25.4,719,-,-,-
RENAULT Grand Scenic 1.5 dCi Hybrid Assist 6MT (110),L4,1461,80.9 @ 4000,260 @ 1750,Turbocharged Common Rail,Hybrid,-,-,Front Wheel Drive,6-speed manual,-,-,-,4633,1864,1661,"1,595/1,582",2804,160,25.4,719,-,-,-
