+AUDI A4 2.0 TFSI quattro 7AT (252),L4,1984,185.4 @ 5000-6000,370 @ 1600-4500,Turbocharged Direct Injection,Gasoline,144,249,5.8 s,All Wheel Drive,7-speed automatic (S tronic),7.9 L/100Km,5.4 L/100Km,6.3 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1585 kg,2080 kg
+AUDI A4 2.0 TFSI ultra 6MT (190),L4,1984,139.7 @ 4200-6000,320 @ 1450-4200,Turbocharged Direct Injection,Gasoline,134,240,7.2 s,Front Wheel Drive,6-speed manual,7.4 L/100Km,5 L/100Km,5.9 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1455 kg,1960 kg
+AUDI A4 2.0 TFSI ultra 7AT (190),L4,1984,139.7 @ 4200-6000,320 @ 1450-4200,Turbocharged Direct Injection,Gasoline,122,240,7.3 s,Front Wheel Drive,7-speed automatic (S tronic),6.6 L/100Km,4 L/100Km,5.4 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1480 kg,1985 kg
+AUDI A4 2.0 TDI 6MT (150),L4,1968,110.3 @ 3250-4200,320 @ 1500-3250,Turbocharged Common Rail,Diesel,111,220,8.9 s,Front Wheel Drive,6-speed manual,5 L/100Km,3.9 L/100Km,4.2 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1505 kg,2030 kg
+AUDI A4 2.0 TDI 6MT (190),L4,1968,139.7 @ 3800-4200,400 @ 1750-3000,Turbocharged Common Rail,Diesel,118,240,7.7 s,Front Wheel Drive,6-speed manual,5.4 L/100Km,4.1 L/100Km,4.5 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1525 kg,2045 kg
+AUDI A4 2.0 TDI 7AT (150),L4,1968,110.3 @ 3250-4200,320 @ 1500-3250,Turbocharged Common Rail,Diesel,112,219,8.7 s,Front Wheel Drive,7-speed automatic (S tronic),5.1 L/100Km,3.9 L/100Km,4.3 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1540 kg,2065 kg
+AUDI A4 2.0 TDI 7AT (190),L4,1968,139.7 @ 3800-4200,400 @ 1750-3000,Turbocharged Common Rail,Diesel,113,237,7.7 s,Front Wheel Drive,7-speed automatic (S tronic),5 L/100Km,3.9 L/100Km,4.3 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1555 kg,2075 kg
+AUDI A4 2.0 TDI quattro 7AT (190),L4,1968,139.7 @ 3800-4200,400 @ 1750-3000,Turbocharged Common Rail,Diesel,121,235,7.2 s,All Wheel Drive,7-speed automatic (S tronic),5.3 L/100Km,4.3 L/100Km,4.6 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1650 kg,2160 kg
+AUDI A4 2.0 TDI ultra 6MT (150),L4,1968,110.3 @ 3250-4200,320 @ 1500-3250,Turbocharged Common Rail,Diesel,101,209,8.9 s,Front Wheel Drive,6-speed manual,4.6 L/100Km,3.5 L/100Km,3.9 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1505 kg,2030 kg
+AUDI A4 2.0 TDI ultra 6MT (190),L4,1968,139.7 @ 3800-4200,400 @ 1750-3000,Turbocharged Common Rail,Diesel,102,209,7.7 s,Front Wheel Drive,6-speed manual,4.8 L/100Km,3.5 L/100Km,3.9 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1505 kg,2040 kg
